"numNodes","treatmentID","algorithm","removeOverlap","time","layerCount","displacement","pathLength","overflowSpace","overlapCount","overlapSpace","overDensitySpace","weightedAllocatedSpace"
80,0,"none",false,0.031652799999999995,1,0,0,55.65,415.8,7327.8,2590,0
80,1,"none",,0.4113307999999999,1,50644.7,50644.7,2318.2,0,0,2590,0
80,2,"simple",,1.2637315999999998,7.6,1923,7239.2,217.95,0,0,848.4,9631.7
80,3,"simple",false,0.0922511,7.6,0,0,55.65,244,364.75,848.4,9631.7
80,4,"overlap",,15.125923799999999,13.7,4528.5,10646.7,2.2,0,0,0,24195.5
80,5,"overlap",false,12.8957809,13.7,0,0,55.7,292.1,2560.85,0,24195.5
90,0,"none",false,0.028454700000000006,1,0,0,62.25,537.4,9504.65,2984.5,0
90,1,"none",,0.3419325,1,66218,66218,2680.5,0,0,2984.5,0
90,2,"simple",,1.9466230000000002,8.5,2401.7,9459.5,337.85,0,0,1150,12429.8
90,3,"simple",false,0.36925119999999995,8.5,0,0,62.25,321.2,477.2,1150,12429.8
90,4,"overlap",,24.5230465,18.5,4620.9,11512.9,4.1,0,0,0.4,41980.4
90,5,"overlap",false,21.9890018,18.5,0,0,63.35,410.7,3250.4,0.4,41980.4
100,0,"none",false,0.0355788,1,0,0,61.85,658.8,11569.05,3313.5,0
100,1,"none",,0.4292109,1,82020.9,82020.9,2981.15,0,0,3313.5,0
100,2,"simple",,2.1262679,9.2,2736.8,11990.8,446.25,0,0,1462.5,15127.3
100,3,"simple",false,0.13385439999999998,9.2,0,0,61.9,398.9,565.1,1462.5,15127.3
100,4,"overlap",,38.15732319999999,23.3,4621.1,12641.5,4.45,0,0,82,63650.7
100,5,"overlap",false,32.3512192,23.3,0,0,62.2,526.8,3630.1,82,63650.7
110,0,"none",false,0.046116500000000005,1,0,0,58.6,792.9,13867,3696.9,0
110,1,"none",,0.4832008,1,100173.7,100173.7,3336.3,0,0,3696.9,0
110,2,"simple",,3.296156,10,3528.8,14666.2,610.2,0,0,1857.3,18306.6
110,3,"simple",false,0.15310870000000001,10,0,0,58.6,475.4,621.9,1857.3,18306.6
110,4,"overlap",,51.8819875,28.5,6001.9,15519.1,6.1,0,0,385.8,91152.4
110,5,"overlap",false,44.8535449,28.5,0,0,59.45,675.7,4019.65,385.8,91152.4
120,0,"none",false,0.03423470000000001,1,0,0,52.25,932.5,16169.9,4026.4,0
120,1,"none",,0.6274693,1,118327.7,118327.7,3635.7,0,0,4026.4,0
120,2,"simple",,3.3301651999999997,11,4129.7,18221.3,736.3,0,0,2181.5,22039.9
120,3,"simple",false,0.175838,11,0,0,52.25,569.8,687.55,2181.5,22039.9
